"filename", "language", "C#", "ASP.NET Razor", "XML", "JSON", "PostCSS", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap-reboot.rtl.min.css", "PostCSS", 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap-utilities.css", "PostCSS", 0, 0, 0, 0, -4891, 0, 0, -8, -503, -5402
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap-utilities.min.css", "PostCSS", 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap-utilities.rtl.css", "PostCSS", 0, 0, 0, 0, -4887, 0, 0, -6, -500, -5393
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap-utilities.rtl.min.css", "PostCSS", 0, 0, 0, 0, -1, 0, 0, -5, 0, -6
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap.css", "PostCSS", 0, 0, 0, 0, -11136, 0, 0, -24, -897, -12057
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap.min.css", "PostCSS", 0, 0, 0, 0, -5, 0, 0, -1, 0, -6
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap.rtl.css", "PostCSS", 0, 0, 0, 0, -11138, 0, 0, -6, -886, -12030
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/css/bootstrap.rtl.min.css", "PostCSS", 0, 0, 0, 0, -5, 0, 0, -1, 0, -6
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/js/bootstrap.bundle.js", "JavaScript", 0, 0, 0, 0, 0, -5064, 0, -655, -596, -6315
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/js/bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 0, 0, -1, 0, -6, 0, -7
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/js/bootstrap.esm.js", "JavaScript", 0, 0, 0, 0, 0, -3568, 0, -578, -302, -4448
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/js/bootstrap.esm.min.js", "JavaScript", 0, 0, 0, 0, 0, -1, 0, -6, 0, -7
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/wwwroot/lib/bootstrap/dist/js/bootstrap.js", "JavaScript", 0, 0, 0, 0, 0, -3604, 0, -584, -307, -4495
